[14:10:59]	CT-2894 Lechu entered observer.
[14:11:00]	CT-2894 Lechu exited observer at their location.
[14:11:11]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[14:11:11]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[14:11:15]	CT-2894 Lechu entered observer.
[14:11:40]	CT-2894 Lechu exited observer at their location.
[14:11:40]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:40]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[14:11:41]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[14:11:42]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[14:11:42]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:43]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:49]	CT-2894 Lechu entered observer.
[14:11:50]	CT-2894 Lechu exited observer at their location.
[14:11:50]	CT-2894 Lechu entered observer.
[14:11:51]	CT-2894 Lechu exited observer at their location.
[14:11:52]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:52]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:52]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:52]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:52]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[14:11:52]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:52]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:52]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:53]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[14:11:53]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:53]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:53]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:53]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:53]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:53]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[14:11:53]	nb_mercenary has killed CT-2894 Lechu.
[14:12:01]	CT-2894 Lechu entered observer.
[14:13:18]	CT-2894 Lechu exited observer at their location.
[14:13:37]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:13:45]	CT-2894 Lechu has taken 2 damage from nb_type1.
[14:14:00]	CT-2894 Lechu entered observer.
[14:14:10]	CT-2894 Lechu exited observer at their location.
[14:14:11]	CT-2894 Lechu entered observer.
[14:14:11]	CT-2894 Lechu exited observer at their location.
[14:14:31]	CT-2894 Lechu ran 'take' on item 'Mundur wojskowy' (#24851)
[14:14:31]	CT-2894 Lechu has gained a 'Mundur wojskowy' #24851.
[14:14:44]	CT-2894 Lechu entered observer.
[14:16:28]	CT-2894 Lechu exited observer at their location.
[14:16:33]	CT-2894 Lechu entered observer.
[14:16:44]	CT-2894 Lechu exited observer at their location.
[14:17:02]	CT-2894 Lechu has taken 65 damage from nb_mercenary_melee.
[14:17:05]	CT-2894 Lechu has taken 65 damage from nb_mercenary_melee.
[14:17:05]	nb_mercenary_melee has killed CT-2894 Lechu.
[14:17:16]	CT-2894 Lechu entered observer.
[14:17:32]	CT-2894 Lechu exited observer at their location.
[14:17:37]	CT-2894 Lechu entered observer.
[14:18:03]	CT-2894 Lechu exited observer at their location.
[14:18:16]	CT-2894 Lechu has taken 20 damage from nb_seeker.
[14:18:20]	CT-2894 Lechu entered observer.
[14:18:35]	CT-2894 Lechu exited observer at their location.
[14:18:41]	CT-2894 Lechu has taken 20 damage from nb_seeker.
[14:18:43]	CT-2894 Lechu has taken 20 damage from nb_seeker.
[14:18:45]	CT-2894 Lechu entered observer.
[14:18:46]	CT-2894 Lechu exited observer at their location.
[14:18:54]	CT-2894 Lechu entered observer.
[14:19:06]	CT-2894 Lechu exited observer at their location.
[14:19:07]	CT-2894 Lechu entered observer.
[14:19:09]	CT-2894 Lechu exited observer at their location.
[14:19:35]	CT-2894 Lechu entered observer.
[14:19:42]	CT-2894 Lechu exited observer at their location.
[14:20:08]	CT-2894 Lechu entered observer.
[14:20:08]	CT-2894 Lechu exited observer at their location.
[14:20:09]	CT-2894 Lechu entered observer.
